и	and,also
пикнуть	let out a squeak
вместо	instead of
сразу	immediately
ток	current ,threshing,mating,toque
качели	swing
решение	decision,solution,solving
пилить	to saw,to nag
дарить	give
три	three
звезда	star,famous person,name of service module on the International Space Station
кровать	bed,bedstead
венера	Venus
принц	prince
бог	God
доверчивый	trusting
подальше	a little,further away
сопровождать	accompany
фильм	movie
расписание	schedule
господин	mister
рыбалка	fishing trip,someone who fishes,a bird that eats fish
видеть	see
раба	slave
каникулы	student vacation
кролик	rabbit
второе	second course
яркий	bright,vivid
специальный	special
убежище	refuge
гадость	beastliness,disgusting 
капелька	small drop
ещё	still,yet
дружить	be friends
яма	hole in the ground
река	river
боковой	lateral
преспокойно	very quietly
оградить	to shield
помощь	help,relief
истина	truth
ж	then
исследование	research
пожалуй	perhaps
весомость	ponderability
боже	my god,god
грустный	sad
забыть	to forget ,to neglect,to leave,to let it go
вторжение	invasion
неблагодарный	ungrateful
форель	trout
победить	win,defeat,Conquer
балет	ballet
носилки	stretcher
лозунг	slogan
помыться	wash oneself
жаловаться	complain 
заплакать	begin to cry
тренировать	train
бремя	burden
повестись	to fall for
несомненно	undoubtedly
удача	good luck
подшутить	banter
расплавить	melt
копал	copal
отличный	excellent,different
встать	to get up,to rise ,to arise,to stop
рядом	near
трогать	touch
сочинять	write or compose 
вал	shaft
великолепный	splendid
лодка	small boat
выбраться	get out from somewhere
достичь	to reach,to achieve
пять	five
скоба	cramp,metal piece that connect Sth
нигде	nowhere
починить	repair
считаться	to be considered
смех	laughter
ай	ouch,English letter 
роль	role
борьба	struggle
правило	rule
небо	sky,heaven,air
возмутительно	it is a scandal
душа	soul
признать	admit,to recognize
цвет	color
сырой	raw,damp
растение	plant
узнать	learn,recognize
простой	simple,basic
видимо	apparently
огород	garden
радовать	cause joy
груз	cargo,load,burden
ехать	to go ,to travel,to move 
другое	another
рвать	rip,pick,vomit
тяжело	hard,heavily
кино	cinema
применить	apply
число	number,date
ключик	key
путь	way
отдавать	return,realize,to reveal ,to give up,to report
роды	childbirth
ясно	clearly
побольше	a little older
плантатор	planter
мята	mint
машинный	Adjective of 
разве	Really,Perhaps,Only,Unless
товарищ	comrade
гроза	thunderstorm
забывчивость	forgetfulness
серия	episode,series
облачность	cloudiness
машина	car,machine
качка	rocking,roll
ко	to,by
неплохой	not bad
ухаживать	to court or win the favor of a woman,to take care of someone or something
аромат	aroma
сага	saga
следующий	following,next
изучать	study
вон	out
прокричать	shout
понять	understand,clear
поискать	to look for
галета	biscuit
утверждать	to claim,to affirm
наследник	heir
каждый	each
ни	neither,no
намерен	intending
лгать	lie
смеяться	laugh,laugh at,mock
предельно	completely,extremely
чтоб	to
попробовать	attempt
позади	behind
возможность	opportunity,possibility
огромный	enormous
свинка	mumps
скоро	quickly
протянуть	to hand,to hold out or extend
износ	wear
письмо	letter ,writing ,script
примитивный	primitive
парик	wig
чуть	nearly,a little,hardly
вспорхнуть	take wing
вырастить	rear
по-нашему	as we think
лично	personally
ездить	go 
короед	bark beetle
график	graph
успеть	to have time,to manage to do
палить	burn
весьма	very
максимально	maximally,as much as possible
снова	again 
наконец	finally,at length,in conclusion
доступно	available
молодец	Well done,fine fellow
обряд	ceremony
часто	often,closely together
бежать	to run,uni directional
труд	work,difficulty,toil,handicrafts,proceeding
шо	What
удобрение	fertilizer
сиденье	seat,seat on the transport
трудно	difficult
вечер	evening
струя	stream
парад	parade
нечестно	unfair
мышь	mouse
прекрасное	the beautiful
лоб	forehead
никуда	nowhere 
квадратный	square
слушатель	hearer
озеро	lake
огонь	fire,flame
зарядка	charger,daily morning physical exercises
катастрофа	catastrophe
удачный	lucky adj
подкоп	sap
эй	hey
подумать	to think a little,to consider
юг	south
вкусный	tasty
вверх	up
сочинение	work,essay
назад	back,ago
остановиться	to stop,to stay 
лук	onion,bow
именно	exactly
железнодорожный	railway
закрой	cutting 
стежок	stitch,narrow path
листок	piece or slip of paper
смелость	courage
одесса	Odessa
перерыв	interruption
светить	shine
безумие	folly
ёлки-палки	darn it
запомнить	memorize
глубокий	deep 
сбор	collection,assemblage,dues,picking
картофель	potatoes
рад	glad
необходимо	it is necessary
протест	protest
поразительно	amazing
замечательно	it is remarkable
записать	jot down or take note,record,write over something
знак	sign
страшный	terrible
работа	work
избыточный	redundant
возвращаться	return
перекусить	quickly eat,have a snack have a bite to eat
везде	everywhere
тесто	dough
снять	to take off ,to rent ,to take a photograph,to take ,to shoot
скамейка	bench,Long seat with a back
вылиться	run out
пушистый	fluffy
музыка	music
новаторство	innovating
получить	receive,access
передать	to transfer,to pass,to deliver
совместно	in common
поэтому	that is why
квадрат	square
съездить	to go ,trip
май	May
оливковый	olive
подол	hem
заезжать	call in on the way
стучать	knock
наконец-то	finally
плюш	plush
познать	get to know
тесно	tightly
вынимать	remove
потеряться	get lost
разговаривать	speak
вязать	knit,crochet,bind
трактовка	treatment
мощность	power,capacity
редко	rarely
более	more
молодой	young,new
бегать	to run,multi directional
медленно	slowly
отвечать	to answer,to be responsible for,to account for,to be held to account for
свеча	candle,plugs,suppository
щас	right now,hang on a minute 
образ	shape form
барашек	young male sheep ,wing
удар	blow
сапог	boot,wader,very long boot
спасать	save
коми	Komi
какая-то	some kind of
виновник	culprit
напротив	opposite
ветвистый	branchy
обращаться	treat handle,appeal to turn to address
небольшой	small
конец	end
говоря	speaking
сознание	consciousness
полено	log
начальник	boss
как-нибудь	somehow
прям	just
увидеть	see
хоть	though,at least
хотя	although
девочка	girl
пчела	bee
полосатый	striped
художник	artist
ужинать	have dinner
обязательно	necessarily,without fail
стыд	shame
впрочем	however
подозрительно	it is suspicious
когда-то	once
извиниться	apologise
немудрено	no wonder
пила	saw
удивительно	surprisingly
помнится	I remember
лицо	face,entity,first,person
большой	big
зато	for it,but 
утром	in the morning
сливки	cream,Pflaumen
пускай	let
открывать	open
возможно	it is possible
безалаберно	in a disorderly manner
дар	gift,ability
брат	brother
держать	to hold,to take
цистерна	cistern
судьба	fate
радио	radio
пригласить	invite
остров	island
выключить	turn off
затем	then
смело	boldly
ночь	night
дед	grandfather
вопрос	question,matter,problem
тунец	tuna
поскольку	since
имя	name,reputation,noun
усик	small moustache
личность	personality,identity
ленивый	lazy
вечером	in the evening
секретный	secret
суть	essence,point
буквально	literally
цветок	flower
возможный	possible
известно	it is known
чужой	stranger,foe
солнечный	sun
проводить	spend,conduct,lead,hold,make,run
профессор	professor
перестать	to stop
порой	at times
получиться	to turn out some way,to result
пара	couple,pair,around two
маленькая	little girl
помнить	to remember
месить	knead
явно	evidently
магнит	magnet
смастерить	make
выдумка	fictitious idea
преувеличивать	exaggerate
стесняться	to be shy
замечательный	remarkable
полночь	midnight
взойти	mount,ascend
сума	bag
будто	as if
красота	beauty
кость	bone
пострадать	to be injured,to come to harm,to suffer
прибой	surf
баловаться	frolic
сходить	to go ,to go ,to go somewhere 
череда	sequence ,bur
здоровый	healthy
дневник	diary
господа	gentlemen
осторожно	carefully
собирать	gather,to pick up
ползать	to crawl
заметно	it is noticeable
который	which,who
лететь	fly,travel
перерезать	cut ,cut off
приготовление	preparation,cooking
тайно	secretly
подолгу	long
забор	fence,intake
случай	case or occasion
несколько	some
герой	hero,character
дух	ghost spirit mind,breath,courage
никакой	no
душ	shower
корень	root
творить	create
выбор	choice
расти	grow
временно	temporarily
полезно	it is useful
баночка	can
пальчик	Little finger 
невозможно	it is impossible
шелестеть	rustle
смешно	to consider something funny
пришествие	advent
молоко	milk
плохой	bad
съеденный	eaten
